feature1,feature2,correlation,p-value
averageBadWordsRatio,averageTextDisplayProcessedLength,0.0186587866677,0.118716824863
averageBadWordsRatio,averageTextDisplayProcessedWordsCount,-0.0124107136819,0.299414435542
averageBadWordsRatio,averageTextDisplayWordsCount,-0.0282729199439,0.0180617832592
averageBadWordsRatio,badWordsCount,0.531174033217,0.0
averageBadWordsRatio,badWordsRatio,0.498062234885,0.0
averageBadWordsRatio,before,0.000101765797822,0.993211234851
averageBadWordsRatio,capitalLetterRatio,0.00576716100188,0.62966971168
averageBadWordsRatio,capitalWordRatio,-0.010970729573,0.35899507798
averageBadWordsRatio,emoticonCount,0.000649517621922,0.956691639337
averageBadWordsRatio,emoticonToWordRatio,0.0217136732683,0.069419916051
averageBadWordsRatio,firstPronounsCount,-0.0267387185909,0.0253515817244
averageBadWordsRatio,firstPronounsToWordRatio,-0.0111311925069,0.352009264437
averageBadWordsRatio,hatewordsCount,0.31703294877,4.70311643293e-163
averageBadWordsRatio,hatewordsRatio,0.447059530413,0.0
averageBadWordsRatio,insultsCount,0.553606493023,0.0
averageBadWordsRatio,insultsRatio,0.456760523607,0.0
averageBadWordsRatio,isComment,-0.00183721987094,0.877918330484
averageBadWordsRatio,likeCount,0.00449048811023,0.707327270335
averageBadWordsRatio,negativeCoefficient,0.00299936374486,0.801988073025
averageBadWordsRatio,neutralCoefficient,0.00174421640766,0.884053487
averageBadWordsRatio,positiveCoefficient,-0.00299936374486,0.801988073025
averageBadWordsRatio,profanityWindow2,0.023037023193,0.054059071783
averageBadWordsRatio,profanityWindow3,0.0891297973348,8.20835412147e-14
averageBadWordsRatio,profanityWindow4,0.102311395402,9.76435749432e-18
averageBadWordsRatio,profanityWindow5,0.0116486730924,0.330071734071
averageBadWordsRatio,punctuationRatio,0.0199028376549,0.0960674007326
averageBadWordsRatio,secondPronounsCount,-0.00156772539994,0.895714899473
averageBadWordsRatio,secondPronounsToWordRatio,0.00650241730166,0.586670148532
averageBadWordsRatio,sentimentLabel,-0.0066028868079,0.580901650058
averageBadWordsRatio,textDisplayLength,-0.000812031886475,0.945870527841
averageBadWordsRatio,textDisplayProcessedLength,0.0125510270967,0.293983572491
averageBadWordsRatio,textDisplayProcessedWordsCount,-0.00970729079125,0.416999358823
averageBadWordsRatio,textDisplayWordsCount,-0.0207186529393,0.0831923776185
averageBadWordsRatio,totalReplyCount,0.05522448869,3.82259229759e-06
averageBadWordsRatio,userAverageBadWordsCount,0.271738129427,1.23900237041e-118
averageBadWordsRatio,userAverageBadWordsRatio,0.41132916801,9.55715752345e-284
averageBadWordsRatio,userAverageCapitalLetterRatio,0.00419046913005,0.726066026224
averageBadWordsRatio,userAverageCapitalWordRatio,-0.00297431806008,0.803607598341
averageBadWordsRatio,userAverageEmoticonCount,0.00928305438799,0.43765123394
averageBadWordsRatio,userAverageEmoticonToWordRatio,0.0416666984922,0.000491708260294
averageBadWordsRatio,userAverageFirstPronounsCount,-0.0224500497459,0.0604814399418
averageBadWordsRatio,userAverageFirstPronounsToWordRatio,-0.00117418242443,0.921795319664
averageBadWordsRatio,userAverageHatewordsCount,0.132359064947,1.05610860399e-28
averageBadWordsRatio,userAverageHatewordsRatio,0.347446790904,1.3682990984e-197
averageBadWordsRatio,userAverageInsultsCount,0.2698070391,6.44655691501e-117
averageBadWordsRatio,userAverageInsultsRatio,0.388154003663,3.08067824093e-250
averageBadWordsRatio,userAverageLikeCount,-0.00241069585808,0.840263322729
averageBadWordsRatio,userAverageNegativeCoefficient,0.00793704295863,0.50693333297
averageBadWordsRatio,userAverageNeutralCoefficient,0.0069200958097,0.562865400512
averageBadWordsRatio,userAveragePositiveCoefficient,-0.00793704295863,0.50693333297
averageBadWordsRatio,userAverageProfanityWindow2,0.0333175202207,0.00532929354301
averageBadWordsRatio,userAverageProfanityWindow3,0.0509544567922,2.01672434022e-05
averageBadWordsRatio,userAverageProfanityWindow4,0.0597405120119,5.75321710692e-07
averageBadWordsRatio,userAverageProfanityWindow5,0.0123132623451,0.303225446359
averageBadWordsRatio,userAveragePunctuationRatio,0.000962619217474,0.935852439547
averageBadWordsRatio,userAverageSecondPronounsCount,-0.000833210382252,0.944461037061
averageBadWordsRatio,userAverageSecondPronounsToWordRatio,0.0111571986357,0.350885235451
averageBadWordsRatio,userAverageTextDisplayLength,-0.021565553135,0.071342908376
averageBadWordsRatio,userAverageTextDisplayProcessedLength,-0.014551794699,0.223707540364
averageBadWordsRatio,userAverageTextDisplayProcessedWordsCount,-0.0256304956162,0.0320892126183
averageBadWordsRatio,userAverageTextDisplayWordsCount,-0.0311119783475,0.00927148967104
averageBadWordsRatio,userNumberOfComments,0.0175530311839,0.142183519354
averageBadWordsRatio,userNumberOfContent,-0.0083415946767,0.485523550393
averageBadWordsRatio,userNumberOfReplies,-0.018125655155,0.129621486704
averageBadWordsRatio,diffBadWordsCount,0.00260950725235,0.827289481654
averageBadWordsRatio,diffBadWordsRatio,0.00644610062684,0.589915158539
averageBadWordsRatio,diffCapitalLetterRatio,0.000147531774731,0.990158331353
averageBadWordsRatio,diffCapitalWordRatio,-0.000934955663891,0.937692092383
averageBadWordsRatio,diffEmoticonCount,0.00318811095698,0.789810947531
averageBadWordsRatio,diffEmoticonToWordRatio,0.00395835728432,0.740677402229
averageBadWordsRatio,diffFirstPronounsCount,-0.00141072637355,0.906107452555
averageBadWordsRatio,diffFirstPronounsToWordRatio,-0.00151711178158,0.899063402465
averageBadWordsRatio,diffHatewordsCount,0.00052557646063,0.964949810833
averageBadWordsRatio,diffHatewordsRatio,0.00325190205643,0.785706845711
averageBadWordsRatio,diffInsultsCount,0.000304757320139,0.979671686702
averageBadWordsRatio,diffInsultsRatio,0.00142526905015,0.905144096239
averageBadWordsRatio,diffLikeCount,9.18718620738e-05,0.993871242604
averageBadWordsRatio,diffNegativeCoefficient,0.00170940045298,0.886351999795
averageBadWordsRatio,diffNeutralCoefficient,0.00136596798043,0.909073261349
averageBadWordsRatio,diffPositiveCoefficient,-0.00170940045298,0.886351999795
averageBadWordsRatio,diffProfanityWindow2,-2.94292350902e-18,1.0
averageBadWordsRatio,diffProfanityWindow3,3.36871107376e-18,1.0
averageBadWordsRatio,diffProfanityWindow4,7.64336435245e-18,1.0
averageBadWordsRatio,diffProfanityWindow5,1.43509181073e-18,1.0
averageBadWordsRatio,diffPunctuationRatio,-0.000308884704247,0.979396437429
averageBadWordsRatio,diffSecondPronounsCount,-0.00078857153715,0.947432080244
